product_id,product_name,category,price,stock
69,Product 69,Accessories,1811.8,488
70,Product 70,Accessories,687.0,242
71,Product 71,Furniture,4661.13,94
72,Product 72,Accessories,1138.52,499
73,Product 73,Electronics,1883.79,205
74,Product 74,Furniture,2595.13,354
75,Product 75,Office,786.07,226
76,Product 76,Electronics,4072.17,430
77,Product 77,Office,1807.99,230
78,Product 78,Electronics,601.0,376
79,Product 79,Accessories,4775.42,35
80,Product 80,Office,1840.06,147
81,Product 81,Furniture,4450.75,223
82,Product 82,Electronics,3332.27,268
83,Product 83,Office,2496.61,290
84,Product 84,Accessories,2282.27,427
85,Product 85,Furniture,2995.11,182
86,Product 86,Furniture,4419.44,281
87,Product 87,Accessories,2091.38,459
88,Product 88,Office,2859.9,350
89,Product 89,Electronics,1581.96,275
90,Product 90,Office,2526.67,86
91,Product 91,Accessories,4586.12,210
92,Product 92,Accessories,1156.32,275
93,Product 93,Electronics,3326.01,99
94,Product 94,Accessories,2286.25,103
95,Product 95,Office,4616.98,10
96,Product 96,Electronics,259.47,349
97,Product 97,Furniture,2491.21,497
98,Product 98,Office,4124.63,363
99,Product 99,Office,2106.44,293
100,Product 100,Office,4605.93,109
101,Product 101,Electronics,2246.37,31
102,Product 102,Office,4899.06,158
103,Product 103,Furniture,2640.97,103
104,Product 104,Accessories,4608.08,66
105,Product 105,Accessories,4457.86,171
106,Product 106,Accessories,3878.97,440
107,Product 107,Office,2614.16,385
108,Product 108,Office,2763.73,110
109,Product 109,Accessories,1241.3,145
110,Product 110,Furniture,3048.41,351
111,Product 111,Accessories,2867.41,238
112,Product 112,Furniture,875.59,457
113,Product 113,Office,2677.52,449
114,Product 114,Electronics,3398.31,348
115,Product 115,Electronics,4165.2,467
116,Product 116,Office,352.57,38
117,Product 117,Office,3818.92,168
118,Product 118,Office,1004.37,207
119,Product 119,Furniture,509.79,219
120,Product 120,Electronics,3601.11,75
121,Product 121,Office,3590.88,458
122,Product 122,Office,4919.63,279
123,Product 123,Furniture,3507.71,257
124,Product 124,Accessories,259.25,136
125,Product 125,Furniture,1225.07,393
126,Product 126,Furniture,3053.11,271
127,Product 127,Accessories,2907.96,180
128,Product 128,Furniture,4093.07,390
129,Product 129,Accessories,4960.86,23
130,Product 130,Furniture,135.61,350
131,Product 131,Electronics,3643.9,446
132,Product 132,Accessories,4288.14,161
133,Product 133,Accessories,4864.95,109
134,Product 134,Furniture,3471.36,195
135,Product 135,Electronics,1595.14,444
136,Product 136,Electronics,1295.29,69
137,Product 137,Electronics,4453.14,43
138,Product 138,Furniture,2415.44,176
139,Product 139,Electronics,4131.12,379
140,Product 140,Office,3234.41,446
141,Product 141,Accessories,4889.11,402
142,Product 142,Furniture,602.57,153
143,Product 143,Furniture,4992.23,298
144,Product 144,Furniture,111.09,55
145,Product 145,Electronics,504.88,370
146,Product 146,Accessories,3305.41,411
147,Product 147,Office,2924.89,405
148,Product 148,Office,3450.35,341
149,Product 149,Furniture,2724.51,325
150,Product 150,Accessories,4469.42,166
151,Product 151,Electronics,1670.59,118
152,Product 152,Electronics,211.43,288
153,Product 153,Office,3046.68,72
154,Product 154,Electronics,816.64,325
155,Product 155,Furniture,4203.46,331
156,Product 156,Electronics,2112.7,370
157,Product 157,Furniture,528.09,194
158,Product 158,Furniture,4629.14,332
159,Product 159,Furniture,2374.64,372
160,Product 160,Office,3661.77,56
161,Product 161,Accessories,3877.54,16
162,Product 162,Furniture,4353.77,411
163,Product 163,Office,153.94,317
164,Product 164,Furniture,3831.93,484
165,Product 165,Office,4180.13,230
166,Product 166,Office,4476.19,499
167,Product 167,Office,2691.65,382
168,Product 168,Electronics,1640.88,469
169,Product 169,Electronics,1347.27,490
170,Product 170,Electronics,396.06,108
171,Product 171,Accessories,3637.36,104
172,Product 172,Furniture,4096.73,399
173,Product 173,Accessories,1425.01,388
174,Product 174,Office,898.98,172
175,Product 175,Furniture,406.38,184
176,Product 176,Office,3576.99,37
177,Product 177,Electronics,4776.44,131
178,Product 178,Office,3100.61,491
179,Product 179,Furniture,2157.64,455
180,Product 180,Furniture,3949.22,331
181,Product 181,Office,948.3,14
182,Product 182,Furniture,1307.94,465
183,Product 183,Electronics,1511.68,94
184,Product 184,Accessories,4084.57,500
185,Product 185,Accessories,1512.58,49
186,Product 186,Electronics,3046.75,371
187,Product 187,Office,4067.79,382
188,Product 188,Accessories,2724.29,65
189,Product 189,Accessories,2337.78,267
190,Product 190,Accessories,3553.63,274
191,Product 191,Accessories,4662.46,222
192,Product 192,Electronics,1752.97,283
193,Product 193,Electronics,346.51,169
194,Product 194,Furniture,4778.32,500
195,Product 195,Accessories,4802.32,97
196,Product 196,Office,482.73,353
197,Product 197,Office,3775.21,249
198,Product 198,Electronics,3928.08,467
199,Product 199,Office,2618.03,335
200,Product 200,Office,2300.27,371
201,Product 201,Office,482.53,143
202,Product 202,Accessories,3325.67,64
203,Product 203,Furniture,3504.25,194
204,Product 204,Furniture,2480.75,421
205,Product 205,Electronics,2589.01,138
206,Product 206,Office,2556.41,44
207,Product 207,Office,4295.81,184
208,Product 208,Electronics,783.24,44
209,Product 209,Office,3824.32,431
210,Product 210,Furniture,1127.87,472
211,Product 211,Furniture,3853.62,357
212,Product 212,Furniture,1107.98,100
213,Product 213,Furniture,2934.84,125
214,Product 214,Electronics,3159.44,115
215,Product 215,Accessories,2079.66,201
216,Product 216,Office,1604.66,353
217,Product 217,Accessories,3591.72,362
218,Product 218,Accessories,4572.81,98
219,Product 219,Office,1991.09,184
220,Product 220,Electronics,748.49,95
221,Product 221,Office,2145.93,460
222,Product 222,Office,4408.3,149
223,Product 223,Office,2925.92,278
224,Product 224,Office,3548.34,104
225,Product 225,Furniture,4427.52,282
226,Product 226,Accessories,2540.77,25
227,Product 227,Office,4723.27,301
228,Product 228,Accessories,3281.52,351
229,Product 229,Electronics,259.43,435
230,Product 230,Office,4433.87,272
231,Product 231,Furniture,3077.51,267
232,Product 232,Accessories,339.74,451
233,Product 233,Electronics,3199.25,44
234,Product 234,Accessories,2036.45,189
235,Product 235,Office,3127.7,129
236,Product 236,Accessories,1975.75,265
237,Product 237,Accessories,4209.6,116
238,Product 238,Electronics,2360.28,476
239,Product 239,Accessories,492.87,18
240,Product 240,Furniture,1400.55,243
241,Product 241,Accessories,498.52,406
242,Product 242,Office,1496.85,110
243,Product 243,Electronics,3325.8,219
244,Product 244,Accessories,851.18,129
245,Product 245,Furniture,3754.42,471
246,Product 246,Accessories,718.46,268
247,Product 247,Electronics,200.58,313
248,Product 248,Office,3090.03,115
249,Product 249,Furniture,4363.79,39
250,Product 250,Office,2548.78,145
251,Product 251,Electronics,2461.68,271
252,Product 252,Office,3392.37,362
253,Product 253,Electronics,4335.74,36
254,Product 254,Accessories,647.99,186
255,Product 255,Electronics,4691.05,444
256,Product 256,Office,959.04,346
257,Product 257,Electronics,2375.37,49
258,Product 258,Office,862.85,399
259,Product 259,Electronics,3388.84,119
260,Product 260,Furniture,2436.76,148
261,Product 261,Accessories,3943.8,111
262,Product 262,Accessories,633.51,402
263,Product 263,Accessories,652.95,236
264,Product 264,Furniture,1842.02,217
265,Product 265,Furniture,4691.41,254
266,Product 266,Accessories,4049.06,396
267,Product 267,Electronics,2630.24,247
268,Product 268,Office,4096.56,490
269,Product 269,Office,670.37,276
270,Product 270,Office,4728.32,124
271,Product 271,Office,4636.34,283
272,Product 272,Accessories,557.9,362
273,Product 273,Office,4259.28,492
274,Product 274,Furniture,3824.01,452
275,Product 275,Accessories,3886.66,140
276,Product 276,Accessories,206.73,414
277,Product 277,Accessories,1217.34,27
278,Product 278,Accessories,1238.71,483
279,Product 279,Accessories,457.29,137
280,Product 280,Furniture,2560.01,281
281,Product 281,Electronics,3644.41,317
282,Product 282,Office,759.46,309
283,Product 283,Electronics,2258.57,416
284,Product 284,Office,151.85,336
285,Product 285,Electronics,3210.08,248
286,Product 286,Accessories,1264.72,139
287,Product 287,Accessories,1627.89,83
288,Product 288,Office,826.88,62
289,Product 289,Electronics,4212.48,338
290,Product 290,Accessories,938.16,157
291,Product 291,Office,4364.1,487
292,Product 292,Accessories,2122.61,305
293,Product 293,Electronics,4479.65,210
294,Product 294,Furniture,4182.01,24
295,Product 295,Office,3985.47,495
296,Product 296,Furniture,893.46,304
297,Product 297,Furniture,4059.11,63
298,Product 298,Electronics,798.46,445
299,Product 299,Accessories,167.87,275
300,Product 300,Office,4422.27,51
301,Product 301,Office,4990.68,30
302,Product 302,Accessories,4769.86,70
303,Product 303,Furniture,3740.79,220
304,Product 304,Electronics,2190.72,161
305,Product 305,Accessories,4150.89,237
306,Product 306,Furniture,4582.32,48
307,Product 307,Accessories,4750.6,93
308,Product 308,Electronics,4754.97,102
309,Product 309,Office,4592.0,274
310,Product 310,Electronics,2049.38,222
311,Product 311,Electronics,4543.43,178
312,Product 312,Furniture,4437.98,351
313,Product 313,Office,630.65,487
314,Product 314,Electronics,3458.36,70
315,Product 315,Electronics,412.55,416
316,Product 316,Accessories,4158.52,174
317,Product 317,Furniture,3983.38,461
318,Product 318,Office,1654.64,197
319,Product 319,Accessories,4182.4,274
320,Product 320,Office,1771.13,473
321,Product 321,Furniture,4816.06,226
322,Product 322,Office,1735.66,262
323,Product 323,Furniture,1093.42,69
324,Product 324,Electronics,2697.24,61
325,Product 325,Electronics,2733.9,453
326,Product 326,Electronics,1345.87,287
327,Product 327,Furniture,1852.4,248
328,Product 328,Furniture,2979.97,82
329,Product 329,Electronics,166.69,66
330,Product 330,Accessories,2269.96,16
331,Product 331,Office,4006.74,321
332,Product 332,Electronics,3813.47,320
333,Product 333,Accessories,550.93,397
334,Product 334,Accessories,2510.56,406
335,Product 335,Office,1682.94,36
336,Product 336,Accessories,330.52,210
337,Product 337,Office,2338.1,322
338,Product 338,Electronics,3477.73,88
339,Product 339,Accessories,2683.97,147
340,Product 340,Furniture,1948.81,41
341,Product 341,Office,918.63,316
342,Product 342,Office,961.46,22
343,Product 343,Electronics,2769.34,76
344,Product 344,Furniture,3984.39,488
345,Product 345,Office,1544.34,23
346,Product 346,Office,4131.7,409
347,Product 347,Electronics,3349.45,59
348,Product 348,Office,4678.6,53
349,Product 349,Furniture,4685.16,395
350,Product 350,Electronics,1032.11,201
351,Product 351,Office,2844.41,283
352,Product 352,Electronics,977.61,32
353,Product 353,Electronics,1332.08,400
354,Product 354,Office,3464.05,159
355,Product 355,Accessories,1767.98,110
356,Product 356,Electronics,2557.0,492
357,Product 357,Accessories,4960.8,220
358,Product 358,Electronics,1015.96,336
359,Product 359,Office,367.06,169
360,Product 360,Furniture,2775.56,353
361,Product 361,Accessories,4324.45,460
362,Product 362,Furniture,4831.91,430
363,Product 363,Furniture,4227.53,349
364,Product 364,Office,912.26,48
365,Product 365,Accessories,3523.81,170
366,Product 366,Office,523.0,159
367,Product 367,Electronics,3192.72,389
368,Product 368,Electronics,2574.51,433
369,Product 369,Furniture,4027.32,455
370,Product 370,Furniture,4489.92,135
371,Product 371,Electronics,4707.64,165
372,Product 372,Electronics,2865.65,165
373,Product 373,Furniture,1271.48,495
374,Product 374,Accessories,3208.57,166
375,Product 375,Office,1902.5,408
376,Product 376,Electronics,4482.65,130
377,Product 377,Electronics,1195.21,313
378,Product 378,Office,2275.93,121
379,Product 379,Office,929.83,72
380,Product 380,Electronics,4416.38,480
381,Product 381,Furniture,3311.99,357
382,Product 382,Office,410.18,228
383,Product 383,Office,507.85,123
384,Product 384,Accessories,3908.68,410
385,Product 385,Accessories,4671.85,104
386,Product 386,Office,4847.91,324
387,Product 387,Office,3699.53,432
388,Product 388,Accessories,1810.63,260
389,Product 389,Furniture,2611.51,258
390,Product 390,Accessories,828.75,442
391,Product 391,Furniture,2710.8,35
392,Product 392,Accessories,663.4,108
393,Product 393,Electronics,1129.28,426
394,Product 394,Furniture,3210.34,294
395,Product 395,Furniture,583.34,428
396,Product 396,Accessories,4474.64,170
397,Product 397,Office,4202.08,385
398,Product 398,Electronics,3370.48,159
399,Product 399,Furniture,972.5,326
400,Product 400,Accessories,2851.62,374
401,Product 401,Electronics,2018.51,324
402,Product 402,Furniture,1216.75,311
403,Product 403,Office,2136.64,363
404,Product 404,Furniture,3808.17,153
405,Product 405,Accessories,2181.47,497
406,Product 406,Electronics,179.92,413
407,Product 407,Furniture,4601.93,362
408,Product 408,Electronics,648.19,59
409,Product 409,Accessories,4067.41,389
410,Product 410,Electronics,3666.95,111
411,Product 411,Furniture,2468.0,224
412,Product 412,Office,2980.45,252
413,Product 413,Furniture,620.18,466
414,Product 414,Office,1549.93,240
415,Product 415,Office,4023.89,433
416,Product 416,Accessories,1699.98,97
417,Product 417,Office,2147.03,292
418,Product 418,Accessories,2809.33,241
419,Product 419,Accessories,4518.39,239
420,Product 420,Electronics,3143.73,411
421,Product 421,Furniture,4689.62,20
422,Product 422,Office,4385.41,431
423,Product 423,Accessories,2414.6,414
424,Product 424,Electronics,693.69,66
425,Product 425,Office,1210.58,129
426,Product 426,Accessories,328.73,142
427,Product 427,Accessories,3335.79,126
428,Product 428,Electronics,1501.97,64
429,Product 429,Accessories,2320.03,293
430,Product 430,Electronics,1048.45,387
431,Product 431,Accessories,2363.45,391
432,Product 432,Electronics,312.37,432
433,Product 433,Furniture,1262.04,205
434,Product 434,Office,1678.11,391
435,Product 435,Furniture,3589.6,382
436,Product 436,Furniture,2253.41,197
437,Product 437,Accessories,2702.04,453
438,Product 438,Office,2756.04,115
439,Product 439,Electronics,882.81,30
440,Product 440,Accessories,4447.78,212
441,Product 441,Office,4809.29,270
442,Product 442,Accessories,1668.42,455
443,Product 443,Electronics,4578.9,49
444,Product 444,Furniture,2716.68,107
445,Product 445,Accessories,2228.25,258
446,Product 446,Furniture,3754.41,38
447,Product 447,Electronics,362.21,134
448,Product 448,Office,2145.92,274
449,Product 449,Furniture,4462.57,171
450,Product 450,Furniture,4232.79,96
451,Product 451,Accessories,1210.2,112
452,Product 452,Furniture,2326.46,418
453,Product 453,Electronics,655.21,17
454,Product 454,Office,871.04,216
455,Product 455,Office,4504.83,242
456,Product 456,Furniture,2399.92,98
457,Product 457,Furniture,1902.56,58
458,Product 458,Accessories,1111.22,155
459,Product 459,Accessories,4964.08,491
460,Product 460,Accessories,815.93,312
461,Product 461,Accessories,3669.11,252
462,Product 462,Accessories,2789.41,415
463,Product 463,Accessories,2663.44,74
464,Product 464,Office,389.51,222
465,Product 465,Furniture,1507.71,317
466,Product 466,Electronics,825.76,329
467,Product 467,Furniture,1866.01,270
468,Product 468,Office,742.68,84
469,Product 469,Office,4322.06,463
470,Product 470,Furniture,4426.96,380
471,Product 471,Accessories,4840.4,87
472,Product 472,Office,102.98,238
473,Product 473,Furniture,3593.75,385
474,Product 474,Furniture,2664.24,228
475,Product 475,Office,1822.97,359
476,Product 476,Furniture,113.19,132
477,Product 477,Furniture,4067.36,392
478,Product 478,Accessories,3344.49,423
479,Product 479,Furniture,3466.41,56
480,Product 480,Office,4787.52,306
481,Product 481,Accessories,2022.86,451
482,Product 482,Office,3532.5,245
483,Product 483,Accessories,1491.53,399
484,Product 484,Electronics,4627.27,78
485,Product 485,Electronics,4074.13,398
486,Product 486,Electronics,4872.65,331
487,Product 487,Furniture,952.15,30
488,Product 488,Furniture,2524.76,170
489,Product 489,Office,3447.15,135
490,Product 490,Accessories,4563.9,74
491,Product 491,Office,2092.81,428
492,Product 492,Furniture,4280.88,47
493,Product 493,Accessories,1381.89,273
494,Product 494,Accessories,1522.04,28
495,Product 495,Accessories,1955.6,396
496,Product 496,Furniture,183.93,25
497,Product 497,Electronics,4235.75,143
498,Product 498,Office,4862.3,46
499,Product 499,Office,1165.24,342
500,Product 500,Electronics,2090.76,99
